場所,キャッチコピー,説明
秋田ふるさと館,秋田県の特産品が数多く並ぶ。ソフトクリーム販売あり,銘菓・食品・酒・民工芸品などを多数取り揃えられているアンテナショップです。店内で販売されているソフトクリームは香料や粉乳を使わず、栗駒山の麓で育まれた牛乳を100％使用しています。所狭しと陳列された商品は、秋田県の特産品の多さを象徴するかのような光景です。
京都市内,観光・買い物・グルメに祭。京の通り名巡りも楽しめる,京都駅からアクセスよく足を運べる市内。四条烏丸エリアでは日本三大祭・祇園祭で、山鉾が巡行する場所としても有名です。錦市場は錦小路通の寺町通～高倉通間の約400メートルに120軒余りの店が並ぶ京都の台所で、買い物やグルメを楽しめますよ。
千秋公園,日本名城100選の久保田城跡を整備した公園,JR秋田駅から徒歩15分ほどに位置しています。日本の名城100選にも選ばれた、秋田佐竹藩二十万石の久保田城跡です。約16万平方メートルにもおよぶ本丸と二の丸跡が、日本屈指の近代造園家である長岡安平の設計により公園として整備されました。
金沢市,歴史を感じるスポットと先進的なアートが混在,加賀百万石の歴史を物語るスポットはもちろん、先進的な芸術や建築も楽しめるのが魅力です。日本三名園のひとつである兼六園を訪れたり、金沢21世紀美術館で現代アートに触れてみたりするのもよいでしょう。ノドグロ・ズワイガニといった、金沢の味覚も見逃せません。
越前がにミュージアム,越前ガニ・近海の魚の展示。海鮮バイキングの食事処,丹生郡越前町厨にある博物館で福井特産の越前ガニをはじめ、カニや越前近海の魚に関する展示が行われています。趣向を凝らした7つのゾーンで越前の海の世界を体感できるのが特徴です。併設の海鮮マーケット「越前うおいち」には食事処も備わっており、獲れたての新鮮魚介の海鮮バイキングを楽しめます。
香嵐渓,約4000本ものモミジが紅葉する姿は圧巻,春にはカタクリの花が可憐に咲き、初夏には新緑と、四季折々の景色を楽しめる香嵐渓。なかでも秋には約4000本ものモミジが紅葉し、その姿はまさに圧巻です。約11種類の楓があるといわれており、イロハカエデ・ヤマモミジ・ウラゲエンコウカエデなど楓の葉を一つひとつ見比べてみるのもよいですね。
秋保大滝,滝つぼの近くまで行ける。しぶきを感じる豪快な眺め,幅6m落差55mの文字通りの雄大な大滝で、日本の滝百選のひとつに数えられています。しぶきを感じる滝つぼの近くまで行くことができるのがポイントです。川沿いの遊歩道をたどり、ほほに涼風を受けながら間近に豪快な眺めを楽しむことができます。
那覇・首里,喉越しの良い沖縄そば。首里城公園・玉陵を見られる,焼失後も守礼門や正殿遺構をみられる首里城公園。琉球独自の石造建築物で琉球王国の最盛期といわれる尚真王の時代に造られた玉陵などの見学が可能なエリアです。小高い丘の上にある人気の沖縄そば専門店、御殿山首里本店では古くから伝わる製法で仕上げた喉越しの良い麺とこだわりの出汁で作られた沖縄そばを楽しめます。
曽爾高原,ススキが一面を覆う、牧歌的風景が見どころ,倶留尊山のふもとに広がる広大な高原で、10月上旬～11月下旬には約40ヘクタールある曽爾高原がススキで覆われます。昼間はまぶしい太陽の光を受け、銀色の波となってうねり、夕暮れには金の波となってゆれる景色が力強く、限りなくやさしい表情を見せてくれます。牧歌的風景を楽しみたい人におすすめのスポットです。
大阪市,近代的ながらも歴史ある西日本の中心的都市,西日本の中心的都市として高層ビルや商業施設が立ち並ぶ一方で、古来より経済・文化の中心地として繁栄した歴史を受け継ぎ、歴史的建造物や景観が色濃く残る街です。天下の台所と古くから呼ばれるように、日本全国から特産品が集まる食の中心地としての顔も。テーマパークなどもありデートや家族連れにもおすすめです。
